indice,tiempo_s,velocidad_mps,velocidad_sin_media
0,0.0,0.601,-0.33703731343283583
1,0.09999999999999432,0.667,-0.27103731343283577
2,0.19999999999998863,0.72,-0.21803731343283583
3,0.3019999999999925,0.728,-0.21003731343283583
4,0.3990000000000009,0.672,-0.26603731343283576
5,0.5009999999999764,0.601,-0.33703731343283583
6,0.5989999999999895,0.544,-0.39403731343283577
7,0.6989999999999839,0.575,-0.36303731343283585
8,0.799999999999983,0.618,-0.3200373134328358
9,0.8990000000000009,0.698,-0.24003731343283585
10,0.9989999999999952,0.734,-0.20403731343283582
11,1.0989999999999895,0.726,-0.21203731343283583
12,1.1989999999999839,0.688,-0.25003731343283586
13,1.3029999999999973,0.674,-0.26403731343283576
14,1.399000000000001,0.677,-0.26103731343283576
15,1.5009999999999764,0.736,-0.20203731343283582
16,1.5989999999999895,0.806,-0.13203731343283576
17,1.6989999999999839,0.796,-0.14203731343283577
18,1.799999999999983,0.841,-0.09703731343283584
19,1.8979999999999961,0.767,-0.1710373134328358
20,1.9989999999999952,0.71,-0.22803731343283584
21,2.0989999999999895,0.671,-0.26703731343283577
22,2.198999999999984,0.74,-0.19803731343283582
23,2.3029999999999973,0.791,-0.14703731343283577
24,2.399000000000001,0.829,-0.10903731343283585
25,2.5009999999999764,0.804,-0.13403731343283576
26,2.5989999999999895,0.763,-0.1750373134328358
27,2.698999999999984,0.732,-0.20603731343283582
28,2.799999999999983,0.721,-0.21703731343283583
29,2.8999999999999773,0.782,-0.15603731343283578
30,3.0,0.794,-0.14403731343283577
31,3.0989999999999895,0.843,-0.09503731343283583
32,3.198999999999984,0.844,-0.09403731343283583
33,3.3029999999999973,0.788,-0.15003731343283577
34,3.3999999999999773,0.696,-0.24203731343283585
35,3.5009999999999764,0.701,-0.23703731343283585
36,3.5989999999999895,0.719,-0.21903731343283583
37,3.6999999999999886,0.785,-0.15303731343283578
38,3.799999999999983,0.832,-0.10603731343283584
39,3.8999999999999773,0.862,-0.07603731343283582
40,4.0,0.825,-0.11303731343283585
41,4.0989999999999895,0.761,-0.1770373134328358
42,4.198999999999984,0.776,-0.16203731343283578
43,4.302999999999997,0.763,-0.1750373134328358
44,4.399000000000001,0.863,-0.07503731343283582
45,4.500999999999976,0.913,-0.025037313432835773
46,4.5989999999999895,0.947,0.008962686567164146
